pap_cw,pap_aw
ásido,x
ásidonan,x
asiento,asiento
asientonan,asientonan
asierto,x
asiertonan,x
asigná,x
asignashon,x
asilo,asilo
asilonan,asilonan
asil,x
asilnan,x
asimetria,asimetria
asimétrikamente,asimetricamente
asimétriko,asimetrico
asimilá,asimila
asimilando,asimilando
asimilashon,asimilacion
asimilashon,asimilacion
asimilashonnan,asimilacionnan
asina,asina
asinasina,x
asistensia,asistencia
asistente,x
asistentenan,x
asistènt,assistent
asistèntnan,assistentnan
asistí,asisti
asistiendo,asistiendo
askenazim,x
askenazi,x
askenazinan,x
askeroso,asqueroso
asko,asco
asma,asma
asmátiko,asmatico
asombrá,asombra
asombrando,asombrando
asombro,asombro
asombroso,asombroso
asonansia,x
asonante,x
asonantenan,x
asosiá,asocia
asosiando,asociando
asosiashon,asociacion
asosial,asocial
asosialnan,asocialnan
asosiashon,asociacion
asosiashonnan,asociacionnan
asotá,asota
asotando,asotando
asotea,x
asoteanan,x
as,as
asnan,asnan
aspekto,aspecto
aspektonan,aspectonan
aspektual,x
asperge,asperge
aspergenan,aspergenan
aspèrzje,x
aspèrzjenan,x
aspirá,aspira
aspirando,aspirando
aspirashon,aspiracion
aspirante,x
aspirantenan,x
aspirashon,aspiracion
aspirashonnan,aspiracionnan
aspirina,aspirin
aspirinanan,aspirinnan
aspirin,aspirin
aspirinnan,aspirinnan
asta,hasta
asterisko,x
asteriskonan,x
asteroide,x
asteroidenan,x
aster,x
asternan,x
astiero,x
astieronan,x
astrologia,astrologia
astrológiko,astrologico
astrólogo,astrologo
astrólogonan,astrologonan
astronomia,astronomia
astronómiko,astronomico
astrónomo,astronomo
astrónomonan,astronomonan
astusia,astucia
astusianan,astucianan
astuto,x
asumí,asumi
asumiendo,asumiendo
Asunshon,Asuncion
asuntu,asunto
asuntunan,asuntonan
atá,ata
atakadó,atacado
atakadónan,atacadonan
ataká,ataca
atakadó,atacado
atakando,atacando
atakante,x
atakantenan,x
atake,atake
atakenan,atakenan
ata,ata
at'é,x
atardi,atardi
atardinan,atardinan
ateismo,ateismo
ateista,ateista
ateistanan,ateistanan
atendé,atende
atendiendo,atendiendo
atené,x
ateneo,x
ateneonan,x
atenshon,atencion
atenshonnan,atencionnan
atentá,atenta
atentado,atentado
atentadonan,atentadonan
atentamente,atentamente
atento,atento
atheneum,x
atheneumnan,x
atheshon,x
atheshonnan,x
athetival,adhetival
athetivo,adhetivo
athetivonan,adhetivoan
athunto,adhunto
atkerí,x
atkirí,adkiri
atkiriendo,adkiriendo
atkisishon,adkisicion
atkisishonnan,adkisicionnan
atkisitivo,x
atlántiko,Atlantico
Atlántiko,Atlantico
atlas,atlas
atlasnan,atlasnan
atleta,atleta
atletanan,atletanan
atlétiko,atletico
atlétikonan,atleticonan
atletismo,atletismo
atministradó,administrado
atministradónan,administradonan
atministrador,administrado
atministradornan,administradonan
atministrá,administra
atministrador,administrado
atministradó,administrado
atministrando,administrando
atministrashon,administracion
atministrashon,administracion
atministrashonnan,administracionnan
atministrativo,administrativo
atmirabel,admirabel
atmiradó,admirado
atmiradónan,admiradonan
atmirador,admirado
atmiradornan,admiradonan
atmiral,admiraal
atmiralnan,admiraalnan
atmirá,admira
atmirador,admirado
atmiradó,admirado
atmirando,admirando
atmirashon,admiracion
atmishon,admision
atmisibel,admisibel
atmití,admiti
atmitiendo,admitiendo
atmósfera,atmosfera
atmósferanan,atmosferanan
atmosfériko,atmosferico
atmosfer,atmosfeer
atmosfernan,atmosfeernan
atombòm,atoombom
atombòmnan,atoombomnan
atómiko,atomico
átomo,atoom
átomonan,atoomnan
atom,x
atomnan,x
atonal,x
atonalidat,x
atóniko,atonico
átono,x
atraé,atrae
atrakadó,atracado
atrakadónan,atracadonan
atrakador,atracado
atrakadornan,atracadornan
atraká,atraca
atrakador,atracado
atrakadó,atracado
atrakando,atracando
atrako,atraco
atrakonan,atraconan
atrakshon,atraccion
atrakshonnan,atraccionnan
atraktivo,atractivo
atrasá,atrasa
atrasando,atrasando
atraso,atraso
atrasonan,atrasonan
atras,atras
atrasnan,atrasnan
atrayendo,atrayendo
atribuí,atribui
atributivamente,x
atributivo,atributivo
atributo,atributo
atributonan,atributonan
atril,x
atrilnan,x
atrobe,atrobe
atrosidat,atrocidad
atrosidatnan,atrocidadnan
atvènt,advent
atventismo,adventismo
atventista,adventista
atventistanan,adventistanan
atverbial,adverbial
atverbio,adverbio
atverbionan,adverbionan
atversario,adversario
atversarionan,adversarionan
atversidat,adversidad
atversidatnan,adversidadnan
atverso,adverso
atvertensia,advertencia
atvertensianan,advertencianan
atvertí,adverti
atvirtiendo,advertiendo
atzjudant,x
atzjudantnan,x
aunke,aunke
Australia,Australia
australiano,Australiano
australianonan,Australianonan
Austria,Austria
austriako,Austriaco
austriakonan,Austriaconan
avalancha,avalancha
avalanchanan,avalanchanan
avansá,avansa
avansando,avansando
avanse,x
avansenan,x
ave,x
avel,x
avemaria,Ave Maria
avemarianan,x
avena,avena
avenida,avenida
avenidanan,avenidanan
aventura,aventura
aventuranan,aventuranan
aventurero,aventurero
aventureronan,aventureronan
averiguá,averigua
averiguando,averiguando
averiguashon,averiguacion
averiguashon,averiguacion
averiguashonnan,averiguacionnan
avershon,aversion
avershonnan,aversionnan
aviador,x
aviadornan,x
aviashon,aviacion
avíkola,x
avikultor,avicultor
avikultornan,avicultornan
avikultura,avicultura
avioneta,avioneta
avionetanan,avionetanan
avion,avion
avionnan,avionnan
avisá,avisa
avisando,avisando
aviso,aviso
avisonan,avisonan
avochi,x
avochinan,x
awá,awa
awakati,awacati
awakatinan,awacatinan
awa,awa
aw'é,x
awanan,awanan
Awasa,x
áwaseru,awasero
áwaserunan,awaseronan
awe,awe
awèl,awel
awendia,awendia
aweró,x
awó,awo
awor,awor
aworó,x
aya,aya
ayá,x
ayaka,ayaca
ayakanan,ayacanan
ayatola,x
ayatolanan,x
ayera,ayera
ayó,ayo
ayudante,ayudante
ayudantenan,ayudantenan
ayudo,ayudo
Azerbeidjan,x
ba,x
babadó,x
babadónan,x
babalochi,x
babalochinan,x
baba,baba
babamentu,babamento
babá,baba
babadó,babado
babando,babando
babel,babel
babelnan,babelnan
babero,babero
baberonan,baberonan
Bábilòn,x
Babilonia,x
babilóniko,Babilonico
babilonio,x
babilonionan,x
babuká,babuca
babun,babun
babunnan,babunnan
bachi,bachi
bachinan,bachinan
badjaga,x
badjaganan,x
baf,baf
bagamente,vagamente
bagamunderia,bagamunderia
bagamunderianan,bagamunderianan
bagamundu,bagamundo
bagamundunan,bagamundonan
bagas,bagas
bagatèl,bagatel
bagatelisá,bagatelisa
bagòn,bagon
bagònnan,bagonnan
bago,vago
bagonan,vagonan
baguèchi,x
baguèchinan,x
baguedat,vaguedad
baguedatnan,vaguedadnan
baguèt,x
baguètnan,x
bahada,bahada
bahadanan,bahadanan
baha,baha
bahamentu,bahamento
bahá,baha
bahando,bahando
bahia,x
bahianan,x
baho,baho
baiben,x
baibennan,x
baidó,x
baidónan,x
baik,x
baiknan,x
bailadó,bailado
bailadónan,bailadonan
baila,baila
bailamentu,bailamento
bailanan,bailanan
bailá,baila
bailadó,bailado
bailando,bailando
bailarina,bailarina
bailarinanan,bailarinanan
bailarin,bailarin
bailarinnan,bailarinnan
baile,baile
bailenan,bailenan
bai,bai
baimentu,baimento
baina,baina
bainanan,bainanan
baisait,x
baisaitnan,x
baiskel,baiskel
baiskelnan,baiskelnan
baka,baca
bak'é,bak'é
bakanan,bacanan
bakará,x
bákatòr,x
bákatòrnan,x
bakbort,x
baké,x
bakénan,x
bakianu,bakiano
bakianunan,bakianonan
bakiou,x
bakiounan,x
baki,baki
bakinan,bakinan
bakoba,bacoba
bakobanan,bacobanan
bakteriano,x
bakteria,bacteria
bakterianan,bacterianan
bakteriologia,bacteriologia
bakteriológiko,bacteriologico
bakteriólogo,bacteriologo
bakteriólogonan,bacteriologonan
bakuná,vacuna
bakunashon,vacunacion
bakuna,vacuna
bakunanan,vacunanan
bal,bal
balabala,balabala
balada,balada
baladanan,baladanan
balander,balander
balandernan,balandernan
balandran,x
balandrannan,x
balandra,x
balandranan,x
balandro,balandro
balandronan,balandronan
balansá,balansa
balansando,balansando
balansa,balansa
balansanan,balansanan
balanse,x
balansenan,x
bala,bala
balanan,balanan
balaster,balaster
balaú,x
balaúnan,x
balboa,x
balboanan,x
balchi,balchi
balchinan,balchinan
baldadi,baldadi
balein,balein
baleinnan,baleinnan
balente,balente
balentina,x
balentinanan,x
bale,bale
balenan,balenan
balèt,ballet
baliabel,baliabel
baliadó,baliado
baliadónan,baliadonan
balia,balia
baliamentu,baliamento
balianan,balianan
baliá,balia
baliadó,baliado
baliando,baliando
balidá,valida
balides,validez
bálido,valido
baliña,baliña
baliñanan,baliñanan
balioso,valioso
balki,balki
balkinan,balkinan
balkon,balcon
balkonnan,balconnan
balòn,balon
balònnan,balonnan
balorá,balora
balorando,balorando
balorashon,baloracion
balor,balor
balornan,balornan
balotahe,x
balotá,balota
balotamentu,balotamento
balotando,balotando
balotashon,balotacion
balsamá,balsama
balsamando,balsamando
bálsamo,balsamo
bals,bals
balsnan,balsnan
baluadó,baluado
baluadónan,baluadonan
baluá,balua
baluadó,baluado
baluando,baluando
baluashon,baluacion
baluarte,baluarte
baluartenan,baluartenan
bam,x
bamba,x
bambanan,x
bambu,bambu
bambunan,bambunan
bambusher,bambusher
bami,bami
ban,ban
baña,baña
bañamentu,bañamento
banana,banana
banananan,banananan
bañando,bañando
banchi,banchi
banchinan,banchinan
bandá,banda
Bándabou,x
banda,banda
bandanan,bandanan
Bándariba,x
banderá,bandera
bandera,bandera
