pap_cw,pap_aw
buena,buena
bue,x
buenan,x
bufèt,buffet
bufètnan,buffetnan
bugalú,x
buibor,x
buibornan,x
bui,x
buimentu,x
buinan,x
bukel,x
bukelnan,x
bukèt,x
bukètnan,x
buki,buki
bukinan,bukinan
buk,buk
bukmentu,bukmento
bùk,x
bùkmentu,x
bulada,bulada
buladanan,buladanan
buladeifi,buladeifi
buladeifinan,buladeifinan
buladó,x
buladónan,x
bula,bula
bulamentu,bulamento
bulá,x
buladó,x
bulando,bulando
bulchi,bulchi
buldòk,bulldog
buldòknan,bulldognan
buldozer,bulldozer
buldozernan,bulldozernan
bulevar,boulevard
bulevarnan,boulevardnan
bulfait,x
bulfaitnan,x
bulgar,vulgar
Bulgaria,Bulgaria
búlgaro,Bulgaro
búlgaronan,Bulgaronan
bul,bul
bulmentu,bulmento
bùl,x
bùlnan,x
bulpes,x
bulpesnan,x
bulto,bulto
bultonan,bultonan
bulufera,x
buluferanan,x
bululú,bululu
búmeran,x
búmerannan,x
bum,x
bumnan,x
bùmper,bumper
bùmpernan,bumpernan
bunder,x
bundernan,x
bùngalo,x
bùngalonan,x
buní,buni
bunínan,buninan
bunita,bunita
bunitesa,bunitesa
bunitesanan,bunitesanan
bups,bups
buraché,burache
burachénan,burachenan
buracheria,buracheria
burachi,burachi
buraku,buraco
burakunan,buraconan
burdá,x
burdugu,burdugu
burdugunan,burdugunan
burgues,burgues
buriku,burico
burikunan,buriconan
burla,burla
burlamentu,burlamento
burlanan,burlanan
burlando,burlando
burokrasia,burocracia
burókrata,burocrata
burókratanan,burocratanan
burokrátiko,burocratico
büró,x
bürónan,x
bùrs,x
bùrsnan,x
bùrt,x
bùrtnan,x
burusí,burusi
busá,x
busánan,x
buseadó,buceado
buseadónan,buceadonan
buseo,buceo
bushi,bushi
bushinan,bushinan
buskadó,buscado
buskadónan,buscadonan
buska,busca
buskamentu,buscamento
buská,busca
buskadó,buscado
buskando,buscando
búskeda,buskeda
búskedanan,buskedanan
buskuchi,buscuchi
buskuchinan,buscuchinan
bus,bus
busnan,busnan
bùs,x
bùsnan,x
busto,busto
bustonan,bustonan
busulanga,x
butaka,x
butakanan,x
butakon,butacon
butakonnan,butaconnan
buta,buta
butamentu,butamento
butá,buta
butando,butando
butano,x
bütfrei,x
butik,x
butiknan,x
butishi,butishi
butishinan,butishinan
but,x
butnan,x
buts,x
butsnan,x
buya,buya
buyá,x
buyando,x
buyon,x
buyuyu,x
buyuyunan,x
buzon,x
buzonnan,x
byte,byte
bytenan,bytenan
calcium,x
Canada,Canada
cantata,x
cantatanan,x
Caracas,Caracas
Caribe,Caribe
Castilla,Castilla
centerfielder,x
centerfieldernan,x
centigram,centigram
centigramnan,centigramnan
centiliter,centiliter
centiliternan,centiliternan
centimeter,centimeter
centimeternan,centimeternan
cès,x
cèsnan,x
chabalitu,chabalito
chabalitunan,chabalitonan
Chad,x
chake,x
chakenan,x
chalaka,chalaca
chalakanan,chalacanan
chalalá,chalaca
chamba,chamba
chambonada,chambonada
chambonadanan,chambonadanan
chambòn,chambon
chambònnan,chambonnan
chambuká,x
chanchan,chanchan
chanchannan,chanchannan
changá,changa
changa,changa
changanan,changanan
chansa,chansa
chansanan,chansanan
chantage,chantahe
chantagenan,chantahenan
chantagiá,chantahia
chantagiando,chantahiando
cha,cha
chanan,x
chapaleta,chapaleta
chapaletanan,chapaletanan
chapara,chapara
chaparanan,chaparanan
chapariá,x
chapin,x
chapi,chapi
chapinan,chapinan
chapo,chapo
charada,charada
charadanan,charadanan
charla,charla
charlanan,charlanan
charter,charter
chartermentu,x
charternan,charternan
chasis,chasis
chasisnan,chasisnan
chasko,chasco
chaskonan,chasconan
chatiger,x
chatigernan,x
che,che
chefkok,chef-kok
chekeo,chekeo
chekeonan,chekeonan
chèker,x
chèkernan,x
chèk,x
chèkmentu,x
chèknan,x
cheko,x
chekonan,x
chèkòp,x
chèkòpnan,x
Chekoslovakia,x
chek,x
cheknan,x
chèlèlè,x
chèlo,x
chèlonan,x
chemené,chemene
chemenénan,chemenenan
chèmènè,x
chèmènènan,x
chèns,chens
chènsnan,chensnan
chèpèchèpè,x
chep,x
chepnan,x
chèrchadó,cherchado
chèrchadónan,cherchadonan
chèrcha,chercha
chèrchamentu,cherchamento
chèrchè,x
chèrchi,x
chèri,x
chèrinan,x
ches,x
chibatiá,chibatia
chibatiamentu,chibatiamento
chibichibi,x
chibichibinan,x
chibu,chibo
chibunan,chibonan
chicharon,chicharon
chicharonnan,chicharonnan
chichi,chichi
chichinan,chichinan
chifla,x
chifladó,x
chifladónan,x
chiflá,x
chifladó,x
chif,x
chifnan,x
chikadó,x
chikadónan,x
chika,x
chik'é,x
chikamentu,chicamento
chiké,x
chikénan,x
chikí,x
chikiritu,x
chikitin,chikitin
chikitinnan,chikitinnan
chikitu,chikito
chikle,x
chiklenan,x
chikoti,chicoti
chikotinan,chicotinan
Chile,Chile
chileno,Chileno
chilenonan,Chilenonan
chilin,chilin
chimenea,x
chimeneanan,x
chimené,x
chimenénan,x
chimichimi,x
chimichiminan,x
chimpansé,chimpanse
chimpansénan,chimpansenan
China,China
chincha,chincha
chinchanan,chinchanan
chinchi,x
chinchin,chinchin
chinchirinchi,chinchirinchi
chinchirinchinan,chinchirinchinan
chines,Chines
chinesnan,Chinesnan
chinu,x
chip,chip
chi,x
chinan,x
chipichipi,x
chipichipinan,x
chiripa,chiripa
chisma,chisma
chismeira,x
chispa,chispa
chispanan,chispanan
chiste,chiste
chistenan,chistenan
chistoso,chistoso
chiu,x
chiunan,x
chochi,x
chochinan,x
chocho,chocho
chochonan,chochonan
chochoria,x
chochorianan,x
chogogo,chogogo
chogogonan,chogogonan
chòis,x
chòisnan,x
chòk,chok
chokadó,x
chokadónan,x
choka,x
chokamentu,chokmento
chokamata,x
chokante,x
choká,x
chokadó,x
chòkchòk,x
choke,choke
chokenan,chokenan
chòl,chol
chòler,choller
chòlernan,chollernan
chonchorogai,chonchorogay
chonchorogainan,chonchorogaynan
choria,x
chubatu,chubato
chubatunan,chubatonan
chubuskú,x
chuchubi,chuchubi
chuchubinan,chuchubinan
chuchu,chucho
chuchunan,chuchonan
chukulati,chuculati
chukulatinan,chuculatinan
chuliadó,x
chuliadónan,x
chulia,x
chuliamentu,x
chuliando,x
chulo,chulo
chulonan,chulonan
chumba,chamba
chumbá,x
chumbu,chumbo
chumbunan,chumbonan
chupabèbè,chupabebe
chupabèbènan,chupabebenan
chupachupa,chupachupa
chupachupanan,chupachupanan
chupadó,chupado
chupadónan,chupadonan
chupa,chupa
chupamentu,chupamento
chupá,chupa
chupadó,chupado
chupando,chupando
chupánan,x
chupon,chupon
chuponnan,chuponnan
chupòn,x
chupònnan,x
chup,chup
chupnan,chupnan
cis,cis
cisnan,cisnan
Colombia,Colombia
Colon,x
credit,credit
Cuba,Cuba
cum,x
Curaçao,x
curriculum,x
curriculumnan,x
da,x
daa,x
dabaruida,dabaruida
dabaruidanan,dabaruidanan
dachi,x
dachinan,x
dadaismo,x
dader,dader
dadernan,dadernan
dado,dado
dagfar,dagvaard
dais,x
daisnan,x
daka,x
daklos,x
daklosnan,x
dak,dak
daknan,daknan
daks,x
daksnan,x
daktíliko,x
dáktilo,x
dáktilonan,x
dakue,x
dakuenan,x
dakuná,x
dalakochi,dalacochi
dalakochinan,dalacochinan
dalia,dalia
dalianan,dalianan
dal,dal
dalmentu,dalmento
dalmentu,dalmento
dalmentunan,dalmentonan
dama,dama
damanan,damanan
damita,damita
damitanan,damitanan
dam,dam
damnan,damnan
dampanchi,x
dampanchinan,x
damp,x
dampnan,x
dams,dams
damsnan,damsnan
dan,x
daña,daña
dañamentu,dañamento
dañá,daña
dañando,dañando
dande,dande
dandenan,dandenan
danes,Danes
danesnan,Danesnan
dañino,dañino
danki,danki
dank,dank
dankmentu,x
daño,daño
dañonan,dañonan
dansa,danza
dansanan,danzanan
dansflur,x
dansflurnan,x
danson,x
dansonnan,x
dardu,x
dashi,dashi
dashinan,dashinan
data,data
dativo,dativo
dativonan,dativonan
dato,dato
datonan,datonan
datu,x
datunan,x
debate,debate
debatenan,debatenan
debatí,debati
debedó,debedo
debedónan,debedonan
debe,debe
debenan,debenan
deber,deber
debernan,debernan
debet,x
debí,debi
debidamente,debidamente
debido,debido
débil,debil
debilidat,debilidad
debilidatnan,debilidadnan
debilitá,debilita
debilitando,debilitando
debil,debil
debilnan,debilnan
debolbé,debolbe
debor,debor
debòr,x
deboshon,devocion
deboshonnan,devocionnan
debota,x
debotanan,x
deboto,devoto
debotonan,devotonan
debutá,x
debutando,debutando
debutante,debutante
debutantenan,debutantenan
debut,debut
debutnan,debutnan
decagram,x
decagramnan,x
decaliter,x
decaliternan,x
decameter,decameter
decameternan,decameternan
decigram,decigram
decigramnan,decigramnan
deciliter,deciliter
deciliternan,deciliternan
decimeter,decimeter
decimeternan,decimeternan
dedeo,x
dede,dede
dedenan,dedenan
dediká,dedica
dedikando,dedicando
dedikashon,dedicacion
dedikatoria,x
dedikatorianan,x
dedikatorio,x
dedikatorionan,x
dedukshon,deduccion
dedukshonnan,deduccionnan
dedusí,deduci
dedusiendo,deduciendo
defekto,defecto
defektonan,defectonan
defektuoso,x
defendé,defende
defendedó,x
defendedónan,x
defensa,defensa
defensanan,defensanan
defensiva,x
defensivo,defensivo
defensor,defensor
defensornan,defensornan
definí,defini
definibel,definibel
definiendo,definiendo
definishon,definicion
definishonnan,definicionnan
definitivamente,definitivamente
definitivo,definitivo
defisiensia,deficiencia
defisiensianan,deficiencianan
defisiente,deficiente
défisit,x
défisitnan,x
deflashon,x 
deflashonario,x
deformá,deforma
deformando,deformando
deformashon,deformacion
deformashon,deformacion
deformashonnan,deformacionnan
defroudá,defrauda
defroudashon,defraudacion
dèfteg,x
dèftu,x
defuntu,defunto
defuntunan,defuntonan
degenerado,x
degeneradonan,x
degenerá,degenera
degenerashon,degeneracion
degradá,degrada
degradashon,degradacion
deha,deha
dehá,x
dehades,x
dehel,dehel
deidat,deidad
deidatnan,deidadnan
deismo,deismo
dek,dek
dékada,decada
dékadanan,decadanan
dekadensia,decadencia
dekadente,decadente
dekágono,x
dekágononan,x
dekaí,x
dekano,decano
dekanonan,decanonan
dekan,x
dekannan,x
dekapitá,decapita
dekel,dekel
dekelnan,dekelnan
deken,deken
dekennan,dekennan
deklamadó,declamado
deklamadónan,declamadonan
deklamá,declama
deklamadó,declamado
deklamando,declamando
deklamashon,declamacion
deklamashon,declamacion
deklamashonnan,declamacionnan
deklará,declara
deklarando,declarando
deklarashon,declaracion
deklarashon,declaracion
deklarashonnan,declaracionnan
dekliná,declina
deklinando,declinando
deklinashon,declinacion
deklinashon,declinacion
deklinashonnan,declinacionnan
dekoradó,decorado
dekoradónan,decoradonan
dekorá,decora
dekoramentu,decoramento
dekoradó,decorado
dekorando,decorando
dekorashon,decoracion
dekorashon,decoracion
dekorashonnan,decoracionnan
dekorativo,decorativo
dekoro,x
dekòr,x
dekòrnan,x
dèk,x
dèknan,x
dekresiente,decreciente
dekretá,decreta
dekretando,decretando
dekreto,decreto
dekretonan,decretonan
delantá,delanta
delantero,delantero
delanteronan,delanteronan
delaster,delaster
delatá,x
delator,x
delatornan,x
delegado,delegado
delegadonan,delegadonan
delegá,delega
delegashon,delegacion
delegashon,delegacion
delegashonnan,delegacionnan
deleitá,deleita
deliberadamente,deliberadamente
deliberá,delibera
deliberando,deliberando
deliberashon,deliberacion
deliberashon,deliberacion
deliberashonnan,deliberacionnan
delikadesa,delicadesa
delikadesanan,delicadesanan
delikado,delicado
delimitá,delimita
delimitashon,delimitacion
delimitashon,delimitacion
delimitashonnan,delimitacionnan
deliniá,x
deliniashon,x
deliniashon,x
deliniashonnan,x
delinkuensia,delincuencia
delinkuente,delincuente
delinkuentenan,delincuentenan
delirá,x
delirante,x
delirio,delirio
delisia,delicia
delisianan,delicianan
delisioso,delicioso
delito,delito
delitonan,delitonan
delitu,x
delitunan,x
demagogia,demagogia
demagógiko,demagogico
demagogo,demagogo
demagogonan,demagogonan
demandá,demanda
demandando,demandando
demandante,demandante
demandantenan,demandantenan
demanda,demanda
demandanan,demandanan
demas,demas
demasiado,demasiado
demente,demente
demishonario,demisionario
demografia,demografia
demográfiko,demografico
demokrasia,democracia
demokrasianan,democracianan
demókrata,x
demókratanan,x
demokrátiko,democratico
demokratisashon,democratisacion
demokrat,x
demokratnan,x
demoniako,x
demonisá,x
demonisashon,x
demoño,demoño
demoñonan,demoñonan
demontá,x
demorá,x
demoralisá,demoralisa
demoralisando,demoralisando
demoralisashon,demoralisacion
demostradó,x
demostradónan,x
demostrante,demostrante
demostrantenan,demostrantenan
demostrá,demostra
demostradó,x
demostrando,demostrando
demostrashon,demostracion
demostrashon,demostracion
demostrashonnan,demostracionnan
demostrativo,demostrativo
demotivá,demotiva
demotivashon,demotivacion
demotivante,demotivante
dèmpel,dempel
dèmpelmentu,dempelmento
den,den
dengue,dengue
denominadó,denominado
denominadónan,denominadonan
denominá,denomina
denominadó,denominado
denominando,denominando
denominashon,denominacion
denominashon,denominacion
denominashonnan,denominacionnan
denominativo,x
denotá,x
denotando,x
denotashon,x
denotashon,x
denotashonnan,x
densidat,densidad
denso,x
dental,dental
denter,denter
dentista,dentista
dentistanan,dentistanan
denunsiá,denuncia
