pap_cw,pap_aw
aeronóutika,aeronautica
aeronóutiko,aeronautico
aeropuerto,aeropuerto
aeropuertonan,aeropuertonan
afabel,x
afabilidat,x
afan,afan
afdak,afdak
afdaknan,afdaknan
afekshon,afeccion
afektá,afecta
afektando,afectando
afektashon,afektashon
afektivo,afectivo
afekto,efecto
afektuosamente,afectuosamente
afektuoso,afectuoso
aféresis,aferesis
afèr,x
afèrnan,x
Afganistan,x
afgano,x
afganonan,x
afiho,afiho
afihonan,afihonan
afiliado,afiliado
afiliadonan,afiliadonan
afiliá,afilia
afiliando,afiliando
afiliashon,afiliacion
afirmá,afirma
afirmando,afirmando
afirmashon,afirmacion
afirmativo,afirmativo
afishon,x
afishonado,x
afishonadonan,x
afisionado,x
afisionadonan,x
afligí,afligi
aflikshon,afliccion
afó,x
afortunadamente,afortunadamente
af,af
afnan,afnan
Afrika,Africa
afrikanchi,x
afrikanchinan,x
afrikanisá,x
afrikanisashon,africanisacion
afrikanismo,africanismo
afrikanismonan,africanismonan
afrikanista,africanista
afrikanistanan,africanistanan
afrikano,Africano
afrikanonan,Africanonan
afro,afro
afroamerikano,Afromericano
afroamerikanonan,Afromericanonan
afrodisiako,x
afrodisiakonan,x
afrokaribense,Afrocaribense
afrokaribensenan,Afrocaribensenan
afsprak,afspraak
afspraknan,afspraaknan
ag,x
agan,x
agannan,x
agasahá,x
agasaho,x
agasahonan,x
agènda,agenda
agèndanan,agendanan
ageno,aheno
agensia,agencia
agensianan,agencianan
agente,agente
agentenan,agentenan
agitadó,agitado
agitadónan,agitadonan
agitá,agita
agitadó,agitado
agitando,agitando
agitashon,agitacion
aglomerá,aglomera
aglomerashon,aglomeracion
aglomerashon,aglomeracion
aglomerashonnan,aglomeracionnan
agogia,agogia
agógiko,x
agogo,agogo
agogonan,agogonan
agonia,agonia
agonisá,x
agonisando,x
agotá,agota
agotamentu,agotamento
agotador,agotado
agradabel,agradabel
agradablemente,x
agradá,agrada
agradando,agradando
agradesí,x
agradesido,agradecido
agrado,agrado
agrario,agrario
agredí,agredi
agrediendo,agrediendo
agredimentu,x
agregado,agregado
agregadonan,agregadonan
agregá,agrega
agregando,agregando
agregashon,agregacion
agregashon,agregacion
agregashonnan,agresionnan
agreshon,agresion
agreshonnan,agreshonnan
agresividat,agresividad
agresividatnan,agresividadnan
agresivo,agresivo
agresor,agresor
agresornan,agresornan
agríkola,agricola
agrikultor,agricultor
agrikultornan,agricultornan
agrikultura,agricultura
agrupá,agrupa
agrupando,agrupando
agrupashon,agrupacion
agrupashon,agrupacion
agrupashonnan,agrupacionnan
agt,x
agudisá,x
agudisando,x
agudisante,x
agudo,agudo
águila,aguila
águilanan,aguilanan
aguinaldo,aguinaldo
aguinaldonan,aguinaldonan
ahá,aha
ahan,x
ahedres,ajedrez
aheno,aheno
ahustá,ahusta
ahustando,ahustando
ahuste,x
ahustenan,x
ai,x
aichi,x
aichinan,x
aids,AIDS
ainda,ainda
aira,aira
airamentu,x
airando,x
aire,aire
airopuerto,aeropuerto
airopuertonan,aeropuertonan
ais,x
aislá,aisla
aisla,aisla
aislamentu,aislamento
akabá,acaba
akabado,acabado
akademia,academia
akademianan,academianan
akadémiko,x
akadémikonan,x
akapará,x
akaso,acaso
aki,aki
akí,x
aklamá,aclama
aklamando,aclamando
aklamashon,aclamacion
aklará,aclara
aklarando,aclarando
aklarashon,aclaracion
aklarashon,aclaracion
aklarashonnan,aclaracionnan
aklarativo,aclarativo
aklaratorio,aclaratorio
aklaratorionan,aclaratorionan
aklimatisá,aclimatisa
aklimatisando,aclimatisando
aklimatisashon,aclimatisacion
akné,acne
akohé,acoge
akohida,acogida
akohidanan,acogidanan
akolada,x
akoladanan,x
akomodá,acomoda
akomodando,acomodando
akomodashon,acomodacion
akontesé,x
akontesimentu,acontecimento
akontesimentunan,acontecimentonan
akoplá,x
akoplamentu,x
akoplando,acoplando
akordá,acorda
akordando,acordando
akordeonista,acordeonista
akordeonistanan,acordeonistanan
akordeon,acordeon
akordeonnan,acordeonnan
akort,x
akortnan,x
akreditá,acredita
akreditivo,acreditivo
akreedor,x
akreedornan,x
akrobasia,acrobacia
akrobátiko,acrobatico
akrobat,acrobaat
akrobatnan,acrobaatnan
akrónimo,x
akrónimonan,x
akróstiko,x
akróstikonan,x
akseins,x
akseinsnan,x
aksènt,x
aksèntnan,x
aksesibel,accesibel
aksesibilidat,accesibilidad
akseso,acceso
aksesonan,accesonan
aksesorio,acesorio
aksesorionan,acesorionan
akshonista,accionista
akshonistanan,accionistanan
akshon,accion
akshonnan,accionnan
aksidentá,x
aksidental,accidental
aksidentalmente,accidentalmente
aksidente,accidente
aksidentenan,accidentenan
akta,acta
aktanan,actanan
aktitut,actitud
aktitutnan,actitudnan
aktivá,activa
aktivando,activando
aktividat,actividad
aktividatnan,actividadnan
aktivismo,activismo
aktivista,activista
aktivistanan,activistanan
aktivo,activo
aktivonan,activonan
akto,acto
aktonan,actonan
aktor,actor
aktornan,actornan
aktris,actriz
aktrisnan,actriznan
aktu,aktu
aktua,actua
aktual,actual
aktualidat,actualidad
aktualidatnan,actualidadnan
aktualisá,actualisa
aktualisando,actualisando
aktualmente,actualmente
aktuando,actuando
aktuashon,actuacion
aktuashonnan,actuacionnan
aktuprima,actoprima
aktuprimanan,x
aktuprimu,x
aktuprimunan,x
akuadukto,acuaducto
akuaduktonan,acuaductonan
akuamarino,x
akuarela,x
akuarelanan,x
akuario,Acuario
akuarionan,Acuarionan
akudí,acudi
akudiendo,acudiendo
akuedukto,acuaducto
akueduktonan,acuaductonan
akuerdo,acuerdo
akuerdonan,acuerdonan
akulturá,acultura
akulturando,aculturando
akulturashon,aculturacion
akumulá,acumula
akumulando,acumulando
akumulashon,acumulacion
akumulativo,acumulativo
akupuntura,acupunctura
akupunturista,acupuncturista
akupunturistanan,acupuncturistanan
akusado,acusado
akusadonan,acusadonan
akusadó,acusado
akusadónan,acusadonan
akusá,acusa
akusamentu,x
akusadó,acusado
akusando,acusando
akusashon,acusacion
akusashon,acusacion
akusashonnan,acusacionnan
akusativo,acusativo
akústika,acustica
akústiko,acustico
alabá,alaba
alabando,alabando
alabansa,alabansa
alabansanan,alabansanan
alabaster,alabaster
álablanka,alablanca
álablankanan,x
áladuru,x
áladurunan,x
alakran,x
alakrannan,x
alameda,alameda
alamedanan,alamedanan
ala,x
alanan,x
alaparia,x
alarmá,alarma
alarmando,alarmando
alarmante,alarmante
alarma,alarma
alarmanan,alarmanan
albanes,Albanes
albanesnan,Albanesnan
Albania,Albania
albatròs,albatros
albatròsnan,albatrosnan
álbem,x
álbemnan,x
albinismo,albinismo
albino,albino
albinonan,x
albúmina,x
álbum,album
álbumnan,albuman
albùm,album
albùmnan,albumnan
aldu,x
aldunan,x
alegoria,alegoria
alegorianan,alegorianan
alegóriko,alegorico
alegrá,alegra
alegrando,alegrando
alegre,alegre
alegria,alegria
alehá,aleha
alehando,alehando
alehandrino,x
alehandrinonan,x
alein,alein
aleluya,aleluya
aleluyanan,aleluyanan
Alemania,Alemania
aleman,Aleman
alemannan,alemannan
alentador,x
alergia,alergia
alergianan,alergianan
alérgiko,alergico
alèrt,x
alerta,alerta
alertá,alerta
alertando,alertando
alestik,x
alestiknan,x
aletria,aletria
aletrianan,aletrianan
aleu,aleu
alfabétiko,alfabetico
alfabetisá,alfabetisa
alfabetisamentu,x
alfabetisando,alfabetisando
alfabetisashon,alfabetisacion
álfabèt,alfabet
álfabètnan,x
alfafa,x
álfashi,x
álfashinan,x
álgebra,algebra
algebraiko,algebraico
algu,x
algun,algun
aliá,alia
aliado,aliado
aliadonan,aliadonan
aliansa,aliansa
aliansanan,aliansanan
alienabel,x
aliená,x
alienando,x
alienashon,x
aliento,aliento
aligerá,aligerá
aligerando,aligerando
alimentá,alimenta
alimentando,alimentando
alimentashon,alimentacion
alimentante,x
alimentantenan,x
alimentisio,alimenticio
alimento,alimento
alimentonan,alimentonan
alínea,alinea
alíneanan,aliniacion 
aliniá,alinia
aliniando,aliniando
aliniashon,aliniacion
alinia,alinia
aliniamentu,aliniamento
alinianan,x
aliniashon,aliniacion
aliniashonnan,aliniacionnan
aliterá,alitera
aliterashon,aliteracion
aliterashon,aliteracion
aliterashonnan,aliteracionnan
aliviá,alivia
aliviando,aliviando
alivio,alivio
alkalde,alcalde
alkaldenan,alcaldenan
alkaldesa,x
alkaldesanan,x
alkansabel,alcansabel
alkansá,alcansa
alkansando,alcansando
alkanse,alcance
alkapara,alcapara
alkaparanan,alcaparanan
alkohòl,alcohol
alkohóliko,alcoholico
alkohólikonan,alcoholiconan
alkoholismo,alcoholismo
alkoholista,alcoholista
alkoholistanan,alcoholistanan
alkolado,x
álmanak,almanak
álmanaknan,almanaknan
alma,alma
almanan,almanan
almasená,almacena
almasenamentu,almacenamento
almasola,almasola
almendra,almendra
almendranan,almendranan
almirante,x
almirantenan,x
almorsá,x
almuerso,almuerzo
almuersonan,almuerzonan
aló,x
alohá,aloha
alohamentu,alohamento
aloká,x
alokando,x
alokashon,x
alpargata,x
alpargatanan,x
alpeis,x
alrededor,alrededor
alrededornan,alrededornan
alsa,halsa
alsá,x
altamente,altamente
altanero,x
altá,altar
altánan,altarnan
altar,altar
altarnan,altarnan
alterabel,x
alterá,altera
alterando,alterando
alterashon,alteracion
alterashon,alteracion
alterashonnan,alteracionnan
alterná,alterna
alternativa,alternativa
alternativanan,alternativanan
alternativo,alternativo
altesa,altesa
altesanan,altesanan
alto,x
alt,x
altnan,x
altruismo,altruismo
altruista,altruista
altruistanan,altruistanan
altu,x
altura,altura
alturanan,alturanan
aludí,aludi
aludiendo,aludiendo
aluminio,aluminio
alumna,alumna
alumnanan,alumnanan
alumno,alumno
alumnonan,alumnonan
alushon,alusion
alushonnan,alusionnan
alveolar,alveolar
alveolarnan,alveolarnan
amabel,amabel
amabilidat,amabilidad
amabilidatnan,amabilidadnan
amalgama,x
amandel,amandel
amandelnan,amandelnan
amanesé,amanece
amante,amante
amantenan,amantenan
ama,x
amanan,x
amargá,amarga
amargo,amargo
amargura,amargura
amarguranan,amarguranan
amarílis,x
amarílisnan,x
amatùr,amateur
amatùrnan,amateurnan
Amazona,Amazona
amazona,amazona
amazonanan,amazonanan
Amazonia,Amazonia
amazóniko,Amazonico
ambei,aambei
ambeinan,aambeinan
ambiental,ambiental
ambiente,ambiente
ambiguo,x
ambigwedat,x
ambigwedatnan,x
ambishoná,ambiciona
ambishonando,ambicionando
ambishon,ambicion
ambishonnan,ambicionnan
ambisioso,ambicioso
ámbito,ambito
ámbitonan,ambitonan
ámbos,ambos
ambulans,x
ambulansnan,x
ambulante,ambulante
ambulatorio,ambulatorio
ambulatorionan,ambulatorionan
amèn,amen
amenisá,ameniza
amenisashon,amenizacion
ameno,ameno
Amérika,America
amerikanismo,americanismo
amerikanismonan,americanismonan
amerikanista,americanista
amerikanistanan,americanistanan
amerikano,Americano
amerikanonan,Americanonan
amétriko,x
ami,ami
amigabel,amigabel
amigablemente,amigablemente
amiga,amiga
amiganan,amiganan
amiguita,amiguita
amiguitanan,amiguitanan
amiguitu,amiguito
amiguitunan,amiguitonan
amigu,amigo
amigunan,amigonan
amikal,amical
amikalmente,amicalmente
amistat,amistad
amistatnan,amistadnan
amistoso,amistoso
amnistia,amnistia
amonestá,amonesta
amonestando,amonestando
amonestashon,amonestacion
amonestashon,amonestacion
amonestashonnan,amonestashonnan
amoniak,amoniak
amoral,amoral
amoralidat,amoralidad
amoralidatnan,amoralidadnan
amorfo,amorf
amorosamente,x
amoroso,amoroso
amor,amor
amornan,amornan
amortisabel,x
amortisá,amortisa
amortisashon,amortisacion
amortisashon,amortisacion
amortisashonnan,amortisacion
ampará,ampara
amparando,amparando
amparo,amparo
ampèr,ampère
ampèrnan,ampèrean
amplia,amplia
ampliá,amplia
ampliando,ampliando
ampliashon,ampliacion
ampliamente,ampliamente
ampliashon,ampliacion
ampliashonnan,ampliacion
amplio,amplio
amputá,amputa
amputando,amputando
amputashon,amputacion
amputashon,amputacion
amputashonnan,amputacionnan
amsoi,amsoi
amsoinan,amsoinan
ámtenar,ambtenaar
ámtenarnan,ambtenaarnan
an,x
añadí,añadi
añadidura,x
añadiduranan,x
añadiendo,añadiendo
añadishon,x
añadishonnan,x
anagram,anagram
anagramnan,anagramnan
anakrúsis,x
anakrúsisnan,x
anakrus,x
anakrusnan,x
analfabetismo,analfabetismo
analfabeto,analfabeto
analfabetonan,analfabetonan
analisá,analisa
analisando,analisando
analisashon,x
analisashon,x
analisashonnan,x
análisis,analisis
análisisnan,analisisnan
analista,analista
analistanan,analistanan
analítiko,analitico
analogia,analogia
analogianan,analogianan
analógiko,analogico
análogo,analogo
anal,anal
analnan,analnan
anamnésis,x
aña,aña
añanan,añanan
anapèst,x
anapèstnan,x
anarkia,anarkia
anárkiko,anarkico
anarkismo,anarkismo
anarkista,anarkista
anarkistanan,anarkistanan
anasa,anasa
anasanan,anasanan
anatomia,anatomia
anatómiko,anatomico
anatomista,anatomista
anatomistanan,anatomistanan
anchá,x
ancha,hancha
anchamentu,hanchamento
anchovis,anchovis
anchóvis,x
anchóvisnan,anchovisnan
anchu,x
anchura,hanchura
anchuranan,hanchuranan
anda,anda
andando,andando
andansa,andansa
andansanan,andansanan
andino,Andino
andinonan,Andinonan
Andora,x
andoreño,x
andoreñonan,x
andragogia,andragogia
andragógiko,andragogico
andragogo,andragogo
andragogonan,andragogonan
anéisat,x
anékdota,anecdota
anékdotanan,anecdotanan
anekdótiko,anecdotico
aneksá,anexa
aneksashon,x
aneksashon,x
aneksashonnan,x
anekso,anexo
aneksonan,anexonan
anemia,anemia
anémiko,anemico
anfibio,anfibio
anfibionan,anfibionan
anfiteater,anfiteatro
anfiteaternan,anfiteatronan
anfiteatro,anfiteatro
anfiteatronan,anfiteatronan
anfitriona,x
anfitrionanan,anfitrionnan
anfitrion,anfitrion
anfitrionnan,anfitrionnan
angelikal,angelical
angel,angel
angelnan,angelnan
anglikano,anglicano
anglikanonan,anglicanonan
angloamerikano,x
anglo,x
anglonan,x
Angola,Angola
angoles,Angoles
angolesnan,Angolesnan
angua,hangua
anguanan,hanguanan
anguelitu,x
anguelitunan,x
anguiles,x
anguilesnan,x
Anguilla,x
ángulo,angulo
ángulonan,angulonan
angustia,angustia
angustiá,angustia
angustioso,angustioso
anhelá,anhela
anhelando,anhelando
anhelante,x
anhelo,anhelo
anhelonan,anhelonan
anheloso,anheloso
anikilá,x
anikilashon,x
anilina,x
animadó,animado
animadónan,animadonan
animal,animal
animalnan,animalnan
animá,anima
animadó,animado
animando,animando
animashon,animacion
ánimo,animo
anisat,anisat
anisèt,x
anis,anis
anisnan,anisnan
aniversario,aniversario
aniversarionan,aniversarionan
anker,anker
ankernan,ankernan
ankra,hancra
ankrá,hancra
ankrando,hancrando
anochi,anochi
anochinan,anochinan
anomalia,anomalia
anomalianan,anomalianan
anonimato,x
anonimidat,anonimidad
anónimo,anonimo
ano,x
anonan,x
anotadó,x
anotadónan,x
anotá,anota
anotadó,x
anotando,anotando
anotashon,anotacion
anotashon,anotacion
anotashonnan,anotacionnan
anshá,ansha
anshando,anshando
ansha,ansha
anshamentu,anshamento
anshanan,anshanan
ansiano,anciano
ansianonan,ancianonan
ansiedat,ansiedad
ansioso,ansioso
antaántayera,antayera
antaño,antaño
Antártida,x
Antártika,Antartica
antártiko,Antartico
ántayera,antayera
antemano,antemano
antena,antena
antenanan,antenanan
antèna,antena
antènanan,antenanan
antepasado,antepasado
antepasadonan,antepasadonan
antepenúltimo,antepenultimo
anterior,anterior
anteriormente,anteriormente
ántes,antes
antesala,antesala
antesalanan,antesalanan
antesedente,antecedente
antesedentenan,antecedentenan
antesesor,antecesor
antesesornan,antecesornan
anti,anti
antiaéreo,antiaereo
antianisá,x
antianisando,x
antianisashon,x
antiano,Antiano
antianonan,Antianonan
Antia,Antia
Antianan,Antianan
antibiótiko,antibiotico
antibiótikonan,antibioticonan
antidatá,x
antifas,antifaz
antifasnan,antifaznan
Antigua,x
antiguo,antiguo
antigwedat,antiguedad
antigwedatnan,antiguedadnan
antihéroe,antiheroe
antihéroenan,antiheroenan
antik,x
antikoagulante,x
antikoagulantenan,x
antikonsepshon,x
antikonseptivo,anticonceptivo
antikonseptivonan,anticonceptivonan
antikuá,anticua
antimetria,x
antimétriko,x
antipatia,antipatia
antipatianan,antipatianan
antipátiko,antipatico
antipenúltimo,antepenultimo
antisemita,antisemita
antisemitanan,antisemitanan
antisemitismo,antisemitismo
antiséptiko,antiseptico
antiséptikonan,antisepticonan
