pap_cw,pap_aw
desgabá,desgaba
desgana,desgana
desgará,x
desgarador,x
desgrasiá,desgracia
desgrasiadamente,desgraciadamente
desgrasiado,desgraciado
desgrasiadonan,desgraciadonan
desgrasia,desgracia
desgrasianan,desgracianan
desha,x
deshá,x
deshasí,deshaci
dèshbort,dashboard
dèshbortnan,dashboardnan
deshogá,desahoga
deshonestidat,deshonestidad
deshonestidatnan,deshonestidadnan
deshonesto,deshonesto
deshonra,x
deshonrá,x
deshonrado,x
deshumanisá,x
deshumanisando,x
deshumanisashon,x
deshumanisante,x
desibèl,x
desibèlnan,x
desidido,dicidido
desididu,x
desierto,desierto
desiertonan,desiertonan
desifrá,descifra
desifrando,descifrando
desigram,decigram
desigramnan,decigramnan
desigual,desigual
desigualdat,desigualdad
desigualdatnan,desigualdadnan
desiliter,deciliter
desiliternan,deciliternan
desilushoná,desilusiona
desilushon,desilusion
desilushonnan,desilusionnan
desimal,decimal
desimalnan,decimalnan
désimo,decimo
désimonan,decimonan
desinensia,x
desinensianan,x
desinfekshon,desinfeccion
desinfektá,desinfecta
desinfektando,desinfectando
desinfektante,desinfectante
desinfektantenan,desinfectantenan
desintegrá,desintegra
desintegrashon,desintegracion
desinteres,desinteres
desinteresá,desinteresa
desinteresadamente,desinteresadamente
desintoksiká,x
desintoksikashon,x
desir,x
desishon,decision 
desishonnan,decisionnan
desisivo,decisivo
deskabeyá,descabeya
deskabeyadamente,descabeyadamente
deskansá,descansa
deskansando,descansando
deskanso,descanso
deskará,x
deskaradamente,x
deskarga,descarga
deskargá,descarga
deskargo,x
deskargonan,x
deskartá,descarta
deskomponé,x
deskomponiendo,x
deskomposishon,x
deskomunal,x
deskonekshon,desconexion 
deskonekshonnan,desconexionnan
deskonektá,desconecta
deskonektando,desconectando
deskonfiá,desconfia
deskonfiansa,desconfiansa
deskonosé,x
deskonosí,desconoci
deskonosínan,desconocinan
deskonsehá,desconseha
deskonsolá,desconsola
deskontabel,descontabel
deskontá,desconta
deskontando,descontando
deskontinuá,x
deskontinuashon,x
deskribí,describi
deskribiendo,describiendo
deskripshon,descripcion
deskripshonnan,descripcionnan
deskriptivo,descriptivo
deskubrí,descubri
deskubridó,descubrido
deskubridónan,descubridonan
deskubriendo,descubriendo
deskubrimentu,descubrimento
deskuento,descuento
deskuentonan,descuentonan
deskuidá,descuida
deskuidando,descuidando
deskuido,descuido
deskurashá,descurasha
deskustumá,descustuma
deskustumbrá,descustumbra
desmayá,desmaya
desmayo,desmayo
desmayonan,desmayonan
desmentí,desmenti
desmobilisá,desmobilisa
desmobilisashon,desmobilisacion
desmontá,x
desmoralisá,x
desmoralisashon,x
desobedesé,desobedece
desobediensia,desobediencia
desobediente,desobediente
desodorante,desodorante
desodorantenan,desodorantenan
desodorisá,x
desokupá,x
desokupashon,x
desolá,desola
desolashon,desolacion
desórden,desorden
desordená,desordena
desòrdu,x
desòrdunan,x
desorganisá,desorganisa
desorganisashon,desorganisacion
desorientá,desorienta
desorientashon,desorientacion
despachadó,x
despachadónan,x
despachá,despacha
despachadó,x
despachando,despachando
despacho,x
despachonan,x
despedí,despedi
despedida,despedida
despedidanan,despedidanan
despektivo,despectivo
despistá,despista
desplasamentu,x
desplegá,desplega
despliegue,x
desplieguenan,x
despoblá,despobla
despolarisá,x
despolarisashon,x
déspota,despota
déspotanan,despotanan
despótiko,despotico
despotismo,despotismo
despresiabel,despreciabel
despresiá,desprecia
despresiando,despreciando
despresio,desprecio
desproporshonal,desproporcional
desproporshon,desproporcion
desproporshonnan,desproporcionnan
despues,despues
desrekomendá,x
destaká,destaca
destilá,destila
destilando,destilando
destilashon,destilacion
destiná,destina
destinashon,destinacion
destinashon,destinacion
destinashonnan,destinacionnan
destinatario,destinatario
destinatarionan,destinatarionan
destino,destino
destinonan,destinonan
destrosá,destrosa
destruí,destrui
destrukshon,destruccion
destruktibel,destructibel
destruktivo,destructivo
desunion,desunion
desu,x
desunan,x
desviá,desvia
desviando,desviando
desviashon,desviacion
desviante,x
desviashon,desviacion
desviashonnan,desviacionnan
detal,detal
detayadamente,detayadamente
detayá,detaya
detayando,x
detaye,detaye
detayenan,detayenan
detayista,detayista
detayistanan,detayistanan
detekshon,deteccion
detektá,detecta
detektando,detectando
detené,detene
detenidamente,x
detenido,detenido
detenidonan,detenidonan
deteniendo,deteniendo
detenshon,detencion
detenshonnan,detencionnan
deteriorá,deteriora
deterioro,x
determinabel,determinabel
determiná,determina
determinando,determinando
determinashon,determinacion
determinante,determinante
determinativo,x
detestá,detesta
detestabel,detestabel
deurwaarder,deurwaarder
deurwaardernan,deurwaardernan
devaluá,devalua
devaluando,devaluando
devaluashon,devaluacion
develá,devela
dewater,dewater
dewer,dewer
dezèmber,x
dezòrdu,x
dezu,x
dezunan,x
di,di
diabel,diabel
diabelnan,diabelnan
diabétiko,diabetico
diabétikonan,diabeticonan
diabétis,diabetes
diabóliko,diabolico
diafragma,diafragma
diafragmanan,diafragmanan
diagnósis,diagnosis
diagnósisnan,diagnosisnan
diagnostiká,diagnostica
diagnóstiko,x
diagnóstikonan,x
diagonal,diagonal
diagonalnan,diagonalnan
diagram,diagram
diagramnan,diagramnan
diakonado,diaconado
diakrítiko,diacritico
diakróniko,x
dialektal,dialectal
dialéktiko,x
dialektologia,dialectologia
dialekto,dialecto
dialektonan,dialectonan
dialèkt,x
dialèktnan,x
dialisadó,dialisado
dialisadónan,dialisadonan
dialisá,dialisa
dialisadó,dialisado
diálisis,dialisis
diálisisnan,dialisisnan
dialítiko,dialitico
dialogá,dialoga
diálogo,dialogo
diálogonan,dialogonan
diameter,diameter
diameternan,diameternan
diametral,x
diametralmente,x
dia,dia
dianan,dianan
diapositivo,diapositivo
diapositivonan,diapositivonan
diarea,diarea
diariamente,diariamente
diario,diario
diarionan,diarionan
diáspora,x
diatóniko,x
dibershon,x
dibershonnan,x
dibertí,diberti
dibertido,dibertido
dibertishon,diberticion
dibertishonnan,diberticionnan
dibinidat,divinidad
dibinidatnan,divinidadnan
dibino,divino
dibirtiendo,dibertiendo
diborsiá,x
diborsio,x
diborsionan,x
dibuho,dibuho
dibuhonan,dibuhonan
dibulgá,divulga
dibulgashon,divulgacion
dicha,dicha
dicho,dicho
dichonan,dichonan
dichoso,dichoso
didáktika,didactica
didáktiko,didactico
didáktikonan,didacticonan
diéresis,x
diéresisnan,x
dies,dies
diesdos,diesdos
diesel,diesel
dieskuater,diescuater
diesnuebe,diesnuebe
diesocho,diesocho
diesseis,diesseis
diesshete,diesshete
diessinku,diescinco
diestres,diestres
diesun,diesun
dieta,dieta
dietanan,dietanan
dietétiko,x
dietista,dietista
dietistanan,dietistanan
diet,dieet
dietnan,dieetnan
difamadó,difamado
difamadónan,difamadonan
difamá,difama
difamadó,difamado
difamashon,difamacion
diferensiá,diferencia
diferensiashon,diferenciacion
diferensia,diferencia
diferensianan,diferencianan
diferente,diferente
difikultá,dificulta
difikultat,dificultad
difikultatnan,dificultadnan
difikultoso,x
difísil,dificil
difròst,x
difteria,difteria
difuntu,difunto
difuntunan,difuntonan
digerí,digeri
digestion,digestion
digestivo,digestivo
digestivonan,digestivonan
digiriendo,x
digital,digital
digitalisá,digitalisa
digitalisashon,digitalisacion
diglosia,x
dignatario,dignatario
dignatarionan,dignatarionan
dignidat,dignidad
digno,digno
dígrafo,digrafo
dígrafonan,digrafonan
diki,diki
dikshon,x
dikshonario,diccionario
dikshonarionan,diccionarionan
dikta,dicta
diktado,dictado
diktadonan,dictadonan
diktador,dictador
diktadornan,dictadornan
diktadura,dictadura
diktaduranan,dictaduranan
diktá,dicta
diktador,diktador
diktando,dictando
diktatorial,dictatorial
dilanti,dilanti
dilema,dilema
dilemanan,dilemanan
diler,x
dilernan,x
diligensia,diligencia
diligente,diligente
dil,x
dilnan,x
diluvial,x
diluvio,diluvio
dimenshon,dimension
dimenshonnan,dimensionnan
diminutivo,diminutivo
diminutivonan,diminutivonan
dim,dim
dimmentu,x
Dinamarka,Dinamarca
dinametria,x
dinámika,dinamica
dinámiko,dinamico
dinamismo,dinamismo
dinamitá,dinamita
dinamit,x
dinamitnan,x
dinamometer,dinamometer
dinamometernan,dinamometernan
dinamo,x
dinamonan,x
dinam,dinam
dinamnan,dinamnan
dinastia,dinastia
dinastianan,dinastianan
dinosouro,dinosaurio
dinosouronan,dinosaurionan
dioksógen,x
diosa,x
diosanan,x
diosesano,x
diósesis,diocesis
diósesisnan,diocesisnan
diosolopaga,x
dios,dios
diosnan,diosnan
dioxogen,x
dipfris,x
diplomá,diploma
diploma,diploma
diplomanan,diplomanan
diplomasia,diplomacia
diplomátiko,diplomatico
diplomátikonan,diplomaticonan
díptiko,x
díptikonan,x
diptongá,diptonga
diptongashon,diptongacion
diptongo,diptongo
diptongonan,diptongonan
diputado,diputado
diputadonan,diputadonan
direkshon,direccion
direkshonnan,direccionnan
dirèkt,direct
direktamente,directamente
direktiva,directiva
direktivanan,directivanan
direkto,directo
direktorado,directorado
direktora,directora
direktoranan,directoranan
direktor,director
direktornan,directornan
dirigente,dirigente
dirigentenan,dirigentenan
dirigènt,dirigent
dirigèntnan,dirigentnan
dirigí,dirigi
dirigibel,dirigibel
dirigiendo,dirigiendo
dirtí,dirti
dirtiendo,dirtiendo
dirti,dirti
dirtimentu,dirtimento
dis,dis
discjockey,x
discjockeynan,x
diseñadó,x
diseñadónan,x
diseñá,diseña
diseñadó,diseñadó
diseñando,x
diseño,diseño
diseñonan,diseñonan
disertashon,disertacion
disertashonnan,disertacionnan
disfemismo,x
disfemístiko,x
disformal,x
disfrasá,disfrasa
disfras,disfraz
disfrasnan,disfraznan
disfrutá,disfruta
disfrutando,disfrutando
disfrute,x
disfunshonal,x
disgustá,disgusta
disgustu,disgusto
disgustunan,disgustonan
disidente,disidente
disidentenan,disidentenan
disidí,dicidi
disididu,x
disidiendo,dicidiendo
disimuladamente,x
disimulá,disimula
disimulando,disimulando
disimulashon,disimulacion
disipel,x
disipelnan,x
disipliná,disciplina
disiplina,disciplina
disiplinanan,disciplinaan
disiplinario,disciplinario
disípulo,discipulo
disípulonan,discipulonan
diskdrive,x
diskdrivenan,x
diskero,x
diskèt,diskette
diskètnan,diskettenan
diskobar,x
diskobarnan,x
disko,disco
diskonan,disconan
diskordia,discordia
diskordianan,discordianan
diskoteka,discoteca
diskotekanan,discotecanan
diskotèk,x
diskotèknan,x
diskrepansia,discrepancia
diskrepansianan,discrepancianan
diskreto,discreto
diskriminá,discrimina
diskriminashon,discriminacion
diskubrí,descubri
diskubridó,descubrido
diskubridónan,descubridonan
diskulpá,disculpa
diskulpando,disculpando
diskulpa,disculpa
diskulpanan,disculpanan
diskurso,discurso
diskursonan,discursonan
diskushon,discusion
diskushonnan,discusionnan
diskutí,discuti
diskutibel,discutibel
diskutiendo,discutiendo
disminuí,disminui
disminushon,disminucion
disminuyendo,disminuyendo
disolbé,x
disolushon,disolucion
disolvé,disolve
disonansia,x
disonante,x
disparati,disparate
disparatinan,disparatenan
disparsé,disparce
dispensa,dispensa
dispensabel,dispensabel
dispensá,dispensa
dispensashon,dispensacion
dispidí,dispidi
dispididó,dispidido
dispididónan,dispididonan
dispidiendo,dispidiendo
dispidimentu,dispidimento
disponé,dispone
disponibel,disponibel
disponibilidat,disponibilidad
disponiendo,x
disposishon,disposicion
disposishonnan,disposicionnan
dispuesto,dispuesto
disputa,x
disputanan,x
distansiá,distancia
distansiashon,x
distansia,x
distansianan,x
dístiko,x
dístikonan,x
distinguí,distingui
distinguido,distinguido
distinguiendo,distinguiendo
distinshon,distincion
distinshonnan,distincionnan
distintivo,x
distintivonan,x
distinto,distinto
distraé,distrae
distraí,distrai
distraido,x
distraishon,x
distraishonnan,x
distrayendo,distrayendo
distribí,x
distribidó,x
distribidónan,x
distribimentu,x
distribuí,x
distribuidor,distribuidor
distribuidornan,distribuidornan
distribushon,x
distributivo,x
distribuyendo,distribuyendo
distrito,districto
distritonan,districtonan
disturbio,disturbio
disturbionan,disturbionan
disyunshon,x
disyuntivo,x
ditèktif,x
ditèktifnan,x
ditirambo,x
ditirambonan,x
divergente,x
divershon,diversion
divershonnan,diversionnan
diversifiká,diversifica
diversifikando,diversificando
diversifikashon,diversificacion
diverso,x
dividendo,dividendo
dividendonan,dividendonan
dividènt,x
dividèntnan,x
dividí,dividi
dividiendo,dividiendo
dividivi,x
dividivinan,x
divinidat,divinidad
divino,divino
divisa,divisa
divisanan,divisanan
divishon,division
divishonnan,divisionnan
divisor,x
divisorio,x
divorsiá,divorcia
divorsio,divorcio
divorsionan,divorcionan
divulgá,divulga
divulgashon,divulgacion
djabièrnè,diabierna
djabièrnènan,diabiernanan
djabou,x
djaden,x
djadja,djadja
djadjamentu,x
djadjando,djadjando
djadumingu,diadomingo
djadumingunan,diadomingonan
djafó,x
djaka,x
djakanan,x
djakarou,x
djakarounan,x
djaki,x
djaleu,x
djaluna,dialuna
djalunanan,dialunanan
djamanta,x
djamantanan,x
djamars,diamars
djamarsnan,diamarsnan
djanpou,x
djap,djap
djapnan,djapnan
djárason,x
djárasonnan,x
djariba,x
djasabra,diasabra
djasabranan,diasabranan
djaserka,x
djatras,x
djawe,x
djaweps,x
djawepsnan,x
djawó,x
djaya,x
dje,x
djèguèdjèguè,x
djei,x
djeip,x
djeipmentu,x
djèket,x
djèketnan,x
djèki,djeki
djèkinan,djekinan
djèk,x
djèknan,x
djèkpòt,x
djèkpòtnan,x
djèlo,x
djèlonan,x
djèl,x
djèlnan,x
djèm,x
djèmnan,x
djente,djente
djentenan,djentenan
djentista,dentista
djentistanan,dentistanan
djèp,x
djèpnan,x
djes,x
djès,x
djesdos,diesdos
djeskuater,x
djesnuebe,diesnuebe
djesocho,diesocho
djesseis,diesseis
djesshete,diesshete
djessinku,diescinco
djestres,diestres
djesun,diesun
djèt,x
djètnan,x
djimbi,djimbi
djimpi,x
djindja,djindja
djindjanan,djindjanan
djingueli,x
djingueri,x
djipopo,x
djipoponan,x
djis,djis
djispi,x
djispou,x
djòdjò,x
djòdjòmentu,x
djògdó,x
djògdónan,x
djòg,x
djògmentu,x
djogodó,x
djogodónan,x
djòin,x
djoint,x
djointnan,x
djòmpi,x
djondjorofé,x
djònki,x
djònkinan,x
djòp,x
djòpnan,x
djosolopaga,x
djublum,x
djubòks,x
djubòksnan,x
djudju,x
djudjunan,x
djùg,x
djùgnan,x
djùk,x
djuku,x
djukunan,x
djukupreis,x
djùmp,x
djùmpùp,x
djùmpùpnan,x
djus,x
djusnan,x
dobar,x
dobarnan,x
dòbelchèk,x
dòbeldèk,x
dòbeldèknan,x
dòbelkròs,x
dòbel,dobel
dòbelmentu,x
dòbelnan,x
doblahe,x
dobla,dobla
doblamentu,doblamento
doblá,dobla
doblando,doblando
doblánan,x
doblete,x
dobletenan,x
doctorandus,doctorandus
doctorandusnan,doctorandusnan
dodo,dodo
dof,dof
dòf,x
dogma,dogma
dogmanan,dogmanan
dogmátiko,dogmatico
dòk,x
dòknan,x
dòkter,dokter
