pap_cw,pap_aw
biroshinan,biroshinan
birtuoso,virtuoso
birtut,virtud
birtutnan,virtudnan
bisá,bisa
bisando,bisando
bisañetu,x
bisañetunan,x
bisa,bisa
bis'é,x
bisatawela,bisawela
bisatawelanan,bisawelanan
bisawela,x
bisawelanan,x
biseksualidat,bisexualidad
biseksual,bisexual
biseksualnan,bisexualnan
bisentenario,x
bisentenarionan,x
bisé,x
bisénan,x
bisèps,x
bisèpsnan,x
bishitá,bishita
bishitante,bishitante
bishitantenan,bishitantenan
bisiá,x
bisia,x
bisiamentu,x
bisikleta,bicicleta
bisikletanan,bicicletanan
bisílabo,x
bisílabonan,x
bisiña,bisiña
bisiñanan,bisiñanan
bisindario,bisindario
bisindarionan,bisindarionan
bisindat,x
bisindatnan,x
bisio,x
bisionan,x
bisòn,bison
bisònnan,bisonnan
bis,bis
bisnan,bisnan
bispou,bispou
bispu,x
bista,bista
bistanan,bistanan
bistek,bistek
bisteknan,bisteknan
bistiendo,bistiendo
bisti,bisti
bistimentu,bistimento
bistí,bisti
bistínan,x
bisto,bisto
bitbènt,x
bitbèntnan,x
bit,bit
bitnan,bitnan
biuda,viuda
biudanan,viudanan
biudes,x
biudo,viudo
biudonan,viudonan
bivaker,x
bivakernan,x
bivak,x
bivaknan,x
blabla,blabla
blachi,blachi
blachinan,blachinan
blaf,blaf
blafoná,blafona
blafonamentu,blafonamento
blafonando,blafonando
blafòn,blafon
blafònnan,blafonnan
blai,x
blainan,x
blanchadó,blanchado
blanchadónan,blanchadonan
blancha,blancha
blanchamentu,blanchamento
blanchá,blancha
blanchadó,blanchado
blanchando,blanchando
blanka,x
blanko,blanco
blankonan,blanconan
blanku,x
blankunan,x
blankura,blancura
blar,x
blarnan,x
blasbalk,x
blasbalknan,x
blasfemá,x
blasfemia,blasfemia
blasfemianan,blasfemianan
blas,x
blasnan,x
blat,x
blatnan,x
blèblè,x
bleizer,x
bleizernan,x
blek,x
blèk,x
blèkbòl,x
blekero,blekero
blekeronan,blekeronan
blekia,x
bleki,bleki
blekinan,blekinan
blèklait,x
blèklaitnan,x
blèkout,x
blenchi,blenchi
blenchinan,blenchinan
blènder,x
blèndernan,x
blèndu,x
blèr,x
blet,blet
bletnan,bletnan
bleze,x
blezé,x
blikia,blikia
bliki,x
blikinan,x
blindá,x
blitskrig,x
blo,blo
blòblò,x
blòblònan,x
blòfdó,blofdo
blòfdónan,blofdonan
blòf,blof
blòfmentu,blafmento
blokeo,blokeo
blokeonan,blokeonan
bloke,x
blokenan,x
blòkflùit,blokfluit
blòkflùitnan,blokfluitnan
blòkiá,blokia
blòkia,blokia
blòkiamentu,blokiamento
blòki,bloki
blòkinan,blokinan
blòknot,x
blòknotnan,x
blom,x
blònchi,x
blònchinan,x
blònt,x
blos,x
blou,x
bloublou,x
bloudùif,x
bloudùifnan,x
blous,blous
blousá,blousa
blousa,blousa
blousamentu,x
blousana,blousana
blousananan,blousananan
blublèk,x
bludu,x
bludumentu,x
blufein,blufein
blufeinnan,blufeinnan
blumkol,bloemkool
blumkolnan,bloemkoolnan
blusa,blusa
blusanan,blusanan
bo,bo
bobedat,bobedad
bobedatnan,bobedadnan
bòbelgòm,x
bòbelgòmnan,x
bobo,bobo
bobonan,bobonan
bochincha,bochincha
bochinchero,bochinchero
bochincheronan,bochincheronan
bochorná,bochorna
bochorno,bochorno
bochornonan,bochornonan
boda,boda
bodanan,bodanan
bodega,bodega
bodeganan,bodeganan
bòder,x
bòdi,x
bòdinan,x
bòfi,bofi
bòfinan,bofinan
bofon,bofon
bòfta,bofta
bòftamentu,x
bòftá,bofta
bòftánan,x
bófule,x
bófulenan,x
boga,boga
bogamentu,bogamento
bogando,bogando
bògòbògò,x
bògòbògònan,x
bògòn,x
bògònnan,x
bog,x
bognan,x
bògt,x
bògtnan,x
bòguibògui,x
bòguibòguinan,x
bohio,x
bohionan,x
bohoti,bohoti
bòikotiá,boicotia
bòikotiamentu,boicotiamento
bòikotiando,boicotiando
bòikòt,x
bòikòtnan,x
bòiler,boiler
bòilernan,boilernan
boina,x
boinanan,x
bokabulario,vocabulario
bokabularionan,vocabularionan
bokadura,x
bokaduranan,x
bokalisá,vocalisa
bokalisashon,vocalisacion
bokal,vocal
bokalnan,vocalnan
boka,boca
bokanan,bocanan
boká,c
bokánan,c
bòkel,boekel
bòkelnan,boekelnan
boko,x
bokonan,x
bòksdó,x
bòksdónan,x
bòkseo,boxeo
bòkseonan,boxeonan
bòksit,x
bòks,x
bòksmentu,boksmento
bòksnan,x
bolá,bola
bolando,bolando
bola,bola
bolanan,bolanan
bolbe,bolbe
bolbiendo,bolbiendo
bolcheviki,bolshewiki
bolchevikinan,bolshewikinan
bolchevismo,bolshewismo
bole,x
bolero,bolero
boleronan,boleronan
boletin,boletin
boletinnan,boletinnan
bolita,bolita
bolitanan,bolitanan
bolitera,x
boliteranan,x
bolitero,x
boliteronan,x
bolivariano,bolivariano
bolivarianonan,bolivarianonan
bolívar,bolivar
bolívarnan,bolivarnan
Bolivia,Bolivia
boliviano,Boliviano
bolivianonan,Bolivianonan
bòlòbònchi,bolobonchi
bòlòbònchinan,bolobonchinan
bolo,bolo
bolonan,bolonan
bòl,x
bòlnan,x
bòlpark,x
bòlparknan,x
bòlpòint,ballpoint
bòlpòintnan,ballpointnan
bolsa,bolsa
bolsanan,bolsanan
bòltudó,x
bòltudónan,x
bòltu,x
bòltumentu,x
boluntariamente,boluntariamente
boluntario,boluntario
boluntarionan,boluntarionan
boluntat,boluntad
bombá,bomba
bomba,bomba
bombanan,bombanan
bombardeo,bombardeo
bombardeonan,bombardeonan
bombardiá,bombardia
bombardiando,bombardiando
bombero,bombero
bomberonan,bomberonan
bòmbòshi,bomboshi
bòmbòshinan,bomboshinan
bòmbrif,x
bòmbrifnan,x
bòm,x
bòmmentu,x
bòmnan,x
bon,bon
bona,x
Bonaire,Bonaire
bonansa,bonansa
bòncha,x
bònchá,x
bonchi,bonchi
bonchinan,bonchinan
bònchi,x
bònchinan,x
bondadoso,bondadoso
bondat,bondad
bondatnan,bondadnan
bònder,bonder
bòndernan,bondernan
bonèchi,x
bonèchinan,x
Boneiru,Boneiro
boneriano,Boneriano
bonerianonan,Bonerianonan
bongo,bongo
bongonan,bongonan
bonito,bonito
bònkònkò,x
bònkònkònan,x
bono,bono
bononan,bononan
bòn,x
bònnan,x
bòns,x
bònt,x
bòntnan,x
bónùs,bonus
bónùsnan,bonusnan
bòp,x
boraks,x
bora,bora
boramentu,boramento
borá,bora
borando,borando
bòrchi,borchi
bòrchinan,borchinan
bòrdadó,x
bòrdadónan,x
bòrda,borda
bòrdamentu,bordamento
bòrdá,x
bòrdadó,x
bòrdando,bordando
bòrdèshi,x
bòrdèshinan,x
bordo,bordo
bòrg,x
bòrgnan,x
borotá,x
borotamentu,x
borotando,borotando
boroto,boroto
bor,x
bormentu,x
bornan,x
bort,x
borwater,boorwater
bosal,bosal
bosalnan,bosalnan
bosá,bosa
bosánan,bosanan
bosero,vocero
boseronan,voceronan
bòshi,x
bòshinan,x
bòskòshi,x
bòskòshinan,x
bosman,x
bosmannan,x
boso,boso
bos,bos
bosnan,bosnan
bòs,bos
bòsnan,bosnan
